"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,IMPRESSION:UNIQUE_USERS,Reach,Impressions,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Negative feedback from users: Hide all"
1142979803545328,108912897259781,"Психічне здоров'я для України",,"‼️ UPD: Друзі, через непередбачувані обставини ми змушені перенести наш прямий ефір. 

Зустрінемося в суботу об 11.00. Також ефір буде доступний у записі. Перепрошуємо за незручності. 

Втрата під час війни — виклик, який вимагає навичок підтримки одне одного. Особливо важко жити, коли доля близької людини невідома.  

🇺🇦🇨🇭 Українсько-швейцарський проєкт “Психічне здоров’я для України” проведе прямий ефір на тему невизначеної втрати. Будемо говорити про те, як допомогти тим, чиї близькі зникли безвісти та про групи підтримки для родин військовослужбовців. 

👨‍🔬 Ділитися досвідом та відповідати на ваші питання будуть представниці ГО МЕТТА, психотерапевтки Юлія Стадницька та Олена Муха. “Жити чекаючи” – проєкт комплексної психосоціальної підтримки та супроводу родин, що проживають невизначену втрату, який громадська організація втілює на Львівщині за підтримки MH4U.

📅 Запрошуємо на розмову 19 грудня о 19:00 в прямому ефірі на нашому Youtube-каналі.

Обіцяємо тепле та довірливе спілкування. 

Реєструйтеся на захід за посиланням у коментарях 👇

Проєкт «Психічне здоров'я для України» реалізується за підтримки Embassy of Switzerland in Ukraine / Посольство Швейцарії в Україні",0,"12/12/2023 01:12",N/A,https://www.facebook.com/MH4Ukraine/posts/pfbid0dFcUpveeKfQfrFHR8P6qYmHi49ZZvLkxXgqMPn8991r1D9K5VCx4Ht2Ypcxp967dl,0,0,Photo,,,,,Lifetime,,5969,6970,309,236,9,64,142,32,110,,
1207431990433442,108912897259781,"Психічне здоров'я для України",,"🧐 Чого прагне моя дитина і як використати ці знання?

☝🏻 У кожному віковому періоді є поняття базової потреби. Це основа для побудови ставлення дитини до світу. 

👶 У віці до 1 року важливим є тілесний та емоційний контакти з мамою або людиною, яка її заміняє. Це формує довіру до світу і впливає на весь подальший розвиток дитини. 

👧 З року до трьох важливою є присутність тата чи мами протилежної статі, адже у цьому віці кристалізується самосвідомість (у тому числі статева). Період із чотирьох років до шести або семи психологи називають дошкільним. Важливою стає гра. Саме вона має бути фундаментом всього, що ви хочете навчити дитину – прибиранню, вивченню літер чи цифр. 

👩‍🏫 У молодшій школі вкрай важливою є особа дорослого поруч, тому перша вчителька може як допомогти дитині вірити в себе, так і сформувати шкільний невроз. 

👥 Підліток стоїть окремо, бо має ознаки як дорослого, так і дитини. Його базова потреба звучить як приналежність до групи інших дітей. Тому ображатися на дитину чи звинувачувати її в тому, що вона хоче проводити час з однолітками не варто. Це лиш побудує стіну між вами. Те саме стосується і гаджетів, які батьки часто відносять до залежності. Проте у світі постковіду і війни смартфон лишається чи не єдиним способом комунікації дитини з друзями.

☝🏻 Детальніше про дитячо-дорослі стосунки ми будемо розмовляти 6 березня о 19:00 із психологинею Діаною Савенко на нашому YouTube-каналі. 

⬇️ Ви можете потрапити на розмову, зареєструвавшись за посиланням в першому коментарі. Участь безкоштовна. У вас буде можливість поставити свої питання психологині.

Найактивніших глядачів чекають подарунки — безкоштовна індивідуальна консультація від спікерки та нова книга “Батьківство з опорою на прив’язаність” 

Проєкт «Психічне здоров'я для України» реалізується за підтримки Embassy of Switzerland in Ukraine / Посольство Швейцарії в Україні",0,"03/04/2024 08:03",N/A,https://www.facebook.com/MH4Ukraine/posts/pfbid0x8E2gGMjNXfuLQx7tyWYXh8vNDpWdhH12p7N9fEh54yitRkHSHRDfa592E3VVE4ql,0,0,Photo,,,,,Lifetime,,3019,3019,66,48,2,16,38,6,32,,
,,,,,,,,,,,,,,,"An error occurred while computing metadata for content with ID 933528094972880.",Lifetime,51,,,,,,,,,,,
1205224217320886,108912897259781,"Психічне здоров'я для України",,"👨‍👩‍👦 Періодично до психологів приходять батьки із запитом ""моя дитина не слухається..."", або ""раніше все було добре, а тепер щось з дитиною сталося"", ""вона дивно реагує на зауваження"". 

Ми вирішили отримати відповідь на такий запит у дитячої психологині, експертки нашого проєкту Діани Савенко. На картинках - відповіді.",0,"03/01/2024 04:03",N/A,https://www.facebook.com/MH4Ukraine/posts/pfbid0swT8hjajc4s3CMGDF7XJKyg4Zt51J6tmw1TXJyzP1NkCVNApazjJidhPZUF2fYBVl,0,0,Photo,,,,,Lifetime,,3137,3137,88,58,1,29,221,173,48,,
1203875167455791,108912897259781,"Психічне здоров'я для України",,"🤔 Чули про дитячі вікові кризи? Не знаєте, чи поведінка вашої дитини - їх наслідок, чи настав час звернутися за консультацією фахівця? Куди звертатися і як обрати дитячого психолога, якщо допомога таки потрібна? 

🇺🇦🇨🇭Українсько-швейцарський проєкт «Психічне здоров’я для України» продовжує серію прямих ефірів з фахівцями. Цього разу ми будемо говорити із дитячою психологинею про розвиток дитини від народження до 18 років. 

👩‍⚕️ Відповідати на ваші питання в прямому ефірі Діана Савенко – психологиня, розробниця курсів для підлітків, регіональна координаторка швейцарсько-українського проекту MH4U, членкиня Рівненської філії психотерапевтів, мама підлітків.

📆 Зустрічаємося 6 березня о 19:00 в прямому ефірі на нашому Youtube-каналі. Посилання на ефір розмістимо у наших соціальних мережах у день зустрічі.

🔔 Реєструйтеся за посиланням в шапці профілю, щоб отримати нагадування про подію та не проґавити зустріч.

Найактивніших глядачів чекають подарунки — безкоштовна індивідуальна консультація від спікерки та нова книга “Батьківство з опорою на прив’язаність” 

Проєкт «Психічне здоров’я для України» реалізується за підтримки Embassy of Switzerland in Ukraine / Посольство Швейцарії в Україні",0,"02/28/2024 06:02",N/A,https://www.facebook.com/MH4Ukraine/posts/pfbid0BbWrjNdaMmnA485t7b68QiKuQ3hTyviE9gTC299ESwptz6fJaZXtAgZopy3EKWmTl,0,0,Photo,,,,,Lifetime,,2556,2670,141,114,1,26,42,15,27,,
1203870697456238,108912897259781,"Психічне здоров'я для України",,"🤔 Чули про дитячі вікові кризи? Не знаєте, чи поведінка вашої дитини - їх наслідок, чи настав час звернутися за консультацією фахівця? Куди звертатися і як обрати дитячого психолога, якщо допомога таки потрібна? 

🇺🇦🇨🇭Українсько-швейцарський проєкт «Психічне здоров’я для України» продовжує серію прямих ефірів з фахівцями. Цього разу ми будемо говорити із дитячою психологинею про розвиток дитини від народження до 18 років. 

👩‍⚕️ Відповідати на ваші питання в прямому ефірі Діана Савенко – психологиня, розробниця курсів для підлітків, регіональна координаторка швейцарсько-українського проекту MH4U, членкиня Рівненської філії психотерапевтів, мама підлітків.

📆 Зустрічаємося 6 березня о 19:00 в прямому ефірі на нашому Youtube-каналі. Посилання на ефір розмістимо у наших соціальних мережах у день зустрічі.

🔔 Реєструйтеся за посиланням, щоб отримати нагадування про подію та не проґавити зустріч: https://bit.ly/49OCIEH 

Найактивніших глядачів чекають подарунки — безкоштовна індивідуальна консультація від спікерки та нова книга “Батьківство з опорою на прив’язаність” 

Проєкт «Психічне здоров'я для України» реалізується за підтримки Embassy of Switzerland in Ukraine / Посольство Швейцарії в Україні",0,"02/28/2024 06:02",N/A,https://www.facebook.com/MH4Ukraine/posts/pfbid0Zy9gei2o5xuy9hXmm8i8twL3jXw1ccU7FxygQz7gaZvcSRJmobz4YUyHWnXiVAswl,0,0,Photo,,,,,Lifetime,,314343,422911,135,119,0,16,3533,45,830,2658,
1202277634282211,108912897259781,"Психічне здоров'я для України",,"🚀 Сьогодні починається тиждень психічного здоров’я у Вікіпедії!

🙋‍♀️🙋‍♂️Якщо ви спеціаліст чи спеціалістка у сфері психічного здоров’я та вас турбує, що в інтернеті багато неправдивої інформації про психічне здоров’я — ви можете це змінити!

Візьміть участь у Тижні психічного здоров’я та допоможіть наповнити Вікіпедію новими знаннями українською мовою.

Тематичний тиждень проводять ГО «Вікімедіа Україна» та українcько-швейцарський проєкт «Психічне здоров’я для України».

👉 Що можна зробити під час тижня психічного здоров’я? 

Створити нову статтю 
Перекласти існуючу статтю
Доповнити маленьку статтю
Додати джерела в статтю без джерел 

🎉 Для тих, хто вперше буде перекладати статті і не знає, як це правильно робити, 2 березня о 12.00 відбудеться тематичний вебінар:   https://forms.gle/PtHzaCf8adzG11gR8
Активні учасники й учасниці отримають сувеніри від «Вікімедіа Україна» та проєкту «Психічне здоров’я для України».",0,"02/26/2024 04:02",N/A,https://www.facebook.com/MH4Ukraine/posts/pfbid02q8qUEjt9qGoDEwfxsqNxxA66ExFhfJAgNkxhGjt8GBUh3w3wiYkQdJTamuVvRMF9l,0,0,Photo,,,,,Lifetime,,3402,3719,201,158,10,33,83,8,59,16,
1200265704483404,108912897259781,"Психічне здоров'я для України",,"☹️ Проблеми зі сном, слабкість, дратівливість, порушення харчової поведінки, панічні атаки, відсутність сил та енергії — усе це може свідчити про так званий синдром річниці.

Реальність кожного українця змінилася 24 лютого 2022 і з того моменту всі ми проходимо жахливий досвід війни. Синдром або ефект річниці — природній, але дуже непростий етап у переживанні та опрацюванні травматичного досвіду. Реакція людини на річницю може тривати кілька днів або навіть тижнів, і тому дуже важливо розуміти, що саме з нами зараз відбувається і якими методами можна підтримати себе та своїх близьких.

Журналісти видання Громадський простір та психотерапевтка Анна Чиченіна дають поради як пережити річницю. Читайте статтю за посиланням у сторіс ⬇️",0,"02/23/2024 07:02",N/A,https://www.facebook.com/MH4Ukraine/posts/pfbid0WzhymTfZMSkwiFVpYE8zoGMATucTdMiSCC77RdVcrCPAUoUHoaiB4sxFGYWDQKKGl,0,0,Photo,,,,,Lifetime,,1432,1488,29,23,0,6,20,11,9,,
1200263027817005,108912897259781,"Психічне здоров'я для України",,"☹️ Проблеми зі сном, слабкість, дратівливість, порушення харчової поведінки, панічні атаки, відсутність сил та енергії — усе це може свідчити про так званий синдром річниці.

Реальність кожного українця змінилася 24 лютого 2022 і з того моменту всі ми проходимо жахливий досвід війни. Синдром або ефект річниці — природній, але дуже непростий етап у переживанні та опрацюванні травматичного досвіду. Реакція людини на річницю може тривати кілька днів або навіть тижнів, і тому дуже важливо розуміти, що саме з нами зараз відбувається і якими методами можна підтримати себе та своїх близьких.

Журналісти видання Громадський простір та психотерапевтка Анна Чиченіна дають поради як пережити річницю. Читайте статтю за посиланням у першому коментарі під цим дописом ⬇️",0,"02/23/2024 07:02",N/A,https://www.facebook.com/MH4Ukraine/posts/pfbid02CQUVsJGW8F4zEX4VARiAgB9P8bey6EkdjJUZkuQxci19nXcfakow4QFtq1uHfaFal,0,0,Photo,,,,,Lifetime,,2591,2700,74,54,2,18,87,10,77,,
1198840771292564,108912897259781,"Психічне здоров'я для України",,"Якщо через новини ви відчуваєте лише безсилля та зневіру, ось кілька порад, що можуть вам допомогти.

1️⃣ Попіклуйтеся про себе

Коли ви читаєте про трагедію, то можете відчувати бажання щось зробити. Однак, часто не маєте сил на це. І це ок. Перш ніж допомогти комусь, попіклуйтеся про себе. 

Намагайтеся висипатися, їсти збалансовано, пити воду та займатися спортом, якщо це у вас виходить. 

2️⃣ Свідомо споживайте новини

Інформація може як підтримувати, так і викликати відчуття безсилля. Тож ретельно добирайте те, що читаєте та кого дивитеся.

Знаходьте надійні джерела. Шукайте авторитетні ЗМІ, які пишуть факти й посилаються на джерела.
Читайте далі заголовка. Назви статей не завжди правильно відображають інформацію.

3️⃣ Спілкуйтеся з близькими людьми
Вам не обов’язково говорити про новини, але якщо ви це зробите, спробуйте говорити про свої почуття, а не роздумувати про саму трагедію.
Якщо ви відчуваєте, що вам потрібна допомога спеціаліста, зверніться на гарячі лінії підтримки. Посилання ми залишили у коментарях.

4️⃣ Контролюйте те, що можете
Ймовірно, ви відчуваєте безсилля перед тим, що бачите у новинах. Зосередьтеся на тому, що ви можете контролювати та на що можете вплинути. Зробіть пожертву, станьте волонтером, підтримайте петицію. 

5️⃣ Візьміть час на подумати
Дайте собі час, щоб пропрацювати свої емоції та думки стосовно новин. Поставте собі питання:
▪️ Які почуття виникають у мене зараз?
▪️ Що в цих новинах мене зачіпає?
▪️ Як це впливає на мене або на людей, за яких я відповідальний?
▪️ Що мені потрібно в цей момент? Що допоможе мені пережити ці новини?

6️⃣ Керуйте своїми думками
Не дозволяйте негативним думкам затьмарити розум. Якщо вам тривожно, переконайтеся, що ви не потрапили в одну з мисленнєвих пасток. Поставте собі такі питання:

▪️ Катастрофічність: Чи припускаю я лише найгірше про цю ситуацію? Чи перебільшую я цю ситуацію?
▪️ ""А що як..."": Чи намагаюся я передбачити щось невизначене? Чи боюся наслідків, які насправді можуть не відбутися?
▪️ Фільтрування негативу: Чи звертаю я увагу тільки на негативні та болісні новини? Чи ігнорую новини, які виглядають позитивними?

7️⃣ Встановлюйте межі
Вам потрібно знати, коли варто сказати “стоп” потоку новин. Ви маєте подбати про своє психічне здоров'я.

▪️ Створюйте зони без новин. Визначте фізичне місце, де ви не будете читати або дивитися новини. Наприклад, ліжко, де ви лише спите та обідній стіл, за яким ви лише їсте. 
▪️ Блокуйте та вимикайте сповіщення. Блокуйте слова чи фрази, які можуть викликати у вас стрес. Блокуйте людей, які вас дратують і поширюють неправдиву інформацію. Вимкніть сповіщення в новинних каналах та сторінках.
▪️ Встановлюйте обмеження по часу. Вони можуть бути жорсткими (лише 20 хвилин на день) або більш неформальними (лише вранці). Ви можете встановити обмеження на своєму телефоні, які даватимуть вам сигнал, коли ви забагато проводите часу за переглядом новин. 

Можливо, якийсь зі способів ви уже застосовували? Напишіть у коментарях, чи вони вам допомогли ⬇️",0,"02/21/2024 09:02",N/A,https://www.facebook.com/MH4Ukraine/posts/pfbid02MCNpBZ8EgfrdsVK685CdSTCLYd9TVqc8FqGHbEqTXzusWXwcAWkW2q6ecCZXFPMpl,0,0,Photo,,,,,Lifetime,,5026,5189,168,114,4,50,43,10,33,,
